customer_external_id,total_amount,order_date,items_count,category,product_name
cust_9bde8e9fc525,7200.00,2026-04-08 10:34:22,3,Footwear,Minimalist Canvas Sneakers
cust_9bde8e9fc525,5800.00,2026-04-29 10:34:22,2,Outerwear,Recycled Polyester Windbreaker
cust_9bde8e9fc525,14000.00,2026-05-24 10:34:22,4,Knitwear,Merino Wool Knit Sweater
cust_9bde8e9fc525,2500.00,2026-06-07 10:34:22,1,Apparel,Chino Trousers
cust_9bde8e9fc525,13000.00,2026-06-07 10:34:22,2,Knitwear,Cashmere Cardigan
cust_9bde8e9fc525,7500.00,2026-04-13 10:34:22,3,Apparel,Chino Trousers
cust_9bde8e9fc525,2800.00,2026-02-11 10:34:22,1,Footwear,Eco Slip-on Loafers
cust_9bde8e9fc525,12600.00,2026-04-27 10:34:22,3,Apparel,Sustainable Denim Jacket
cust_9bde8e9fc525,8700.00,2026-03-31 10:34:22,3,Outerwear,Recycled Polyester Windbreaker
cust_1c3471d2d9aa,26000.00,2026-06-06 10:34:22,4,Knitwear,Cashmere Cardigan
cust_b7c40cf44d6c,16800.00,2026-05-30 10:34:22,4,Apparel,Sustainable Denim Jacket
cust_b7c40cf44d6c,9600.00,2026-04-30 10:34:22,4,Footwear,Minimalist Canvas Sneakers
cust_b7c40cf44d6c,2900.00,2026-05-18 10:34:22,1,Outerwear,Recycled Polyester Windbreaker
cust_b7c40cf44d6c,4200.00,2026-05-14 10:34:22,2,Apparel,Linen Summer Shirt
cust_b7c40cf44d6c,5000.00,2026-02-21 10:34:22,2,Apparel,Chino Trousers
cust_b7c40cf44d6c,5600.00,2026-04-30 10:34:22,2,Footwear,Eco Slip-on Loafers
cust_b7c40cf44d6c,6300.00,2026-05-02 10:34:22,3,Apparel,Linen Summer Shirt
cust_b7c40cf44d6c,4200.00,2026-05-16 10:34:22,1,Apparel,Sustainable Denim Jacket
cust_b7c40cf44d6c,10500.00,2026-05-11 10:34:22,3,Knitwear,Merino Wool Knit Sweater
cust_b7c40cf44d6c,3500.00,2026-05-25 10:34:22,1,Knitwear,Merino Wool Knit Sweater
cust_32a28ffef567,2100.00,2026-01-11 10:34:22,1,Apparel,Linen Summer Shirt
cust_32a28ffef567,6300.00,2026-01-01 10:34:22,3,Apparel,Linen Summer Shirt
cust_32a28ffef567,9600.00,2026-01-03 10:34:22,4,Footwear,Minimalist Canvas Sneakers
cust_32a28ffef567,11600.00,2026-02-10 10:34:22,2,Outerwear,Heavyweight Parka
cust_32a28ffef567,2800.00,2026-01-16 10:34:22,1,Footwear,Eco Slip-on Loafers
cust_32a28ffef567,19500.00,2026-03-24 10:34:22,3,Knitwear,Cashmere Cardigan
cust_32a28ffef567,8400.00,2025-12-18 10:34:22,2,Apparel,Sustainable Denim Jacket
cust_32a28ffef567,12600.00,2026-02-23 10:34:22,3,Apparel,Sustainable Denim Jacket
cust_32a28ffef567,16800.00,2026-05-15 10:34:22,4,Apparel,Sustainable Denim Jacket
cust_32a28ffef567,5600.00,2026-01-09 10:34:22,2,Footwear,Eco Slip-on Loafers
cust_32a28ffef567,9600.00,2026-03-28 10:34:22,4,Footwear,Minimalist Canvas Sneakers
cust_32a28ffef567,17400.00,2026-06-07 10:34:22,3,Outerwear,Heavyweight Parka
cust_32a28ffef567,7500.00,2026-02-18 10:34:22,3,Apparel,Chino Trousers
cust_32a28ffef567,5800.00,2026-03-14 10:34:22,2,Outerwear,Recycled Polyester Windbreaker
cust_32a28ffef567,7000.00,2026-05-03 10:34:22,2,Knitwear,Merino Wool Knit Sweater
cust_32a28ffef567,10500.00,2025-12-14 10:34:22,3,Knitwear,Merino Wool Knit Sweater
cust_32a28ffef567,8400.00,2026-04-24 10:34:22,2,Apparel,Sustainable Denim Jacket
cust_32a28ffef567,5800.00,2026-03-25 10:34:22,1,Outerwear,Heavyweight Parka
cust_32a28ffef567,5600.00,2026-02-03 10:34:22,2,Footwear,Eco Slip-on Loafers
cust_32a28ffef567,5800.00,2026-01-10 10:34:22,1,Outerwear,Heavyweight Parka
cust_32a28ffef567,2400.00,2026-05-23 10:34:22,1,Footwear,Minimalist Canvas Sneakers
cust_32a28ffef567,23200.00,2026-03-09 10:34:22,4,Outerwear,Heavyweight Parka
cust_32a28ffef567,4200.00,2026-02-05 10:34:22,2,Apparel,Linen Summer Shirt
cust_32a28ffef567,4800.00,2026-06-09 10:34:22,2,Footwear,Minimalist Canvas Sneakers
cust_32a28ffef567,10500.00,2026-01-18 10:34:22,3,Knitwear,Merino Wool Knit Sweater
cust_32a28ffef567,13000.00,2026-04-30 10:34:22,2,Knitwear,Cashmere Cardigan
cust_7dc8498d2ef4,23200.00,2025-10-04 10:34:22,4,Outerwear,Heavyweight Parka
cust_7dc8498d2ef4,13000.00,2026-04-10 10:34:22,2,Knitwear,Cashmere Cardigan
cust_7dc8498d2ef4,3500.00,2026-03-27 10:34:22,1,Knitwear,Merino Wool Knit Sweater
cust_7dc8498d2ef4,4800.00,2025-10-17 10:34:22,2,Footwear,Minimalist Canvas Sneakers
cust_3e2f5a4617c4,26000.00,2026-03-18 10:34:22,4,Knitwear,Cashmere Cardigan
cust_3e2f5a4617c4,5600.00,2026-05-02 10:34:22,2,Footwear,Eco Slip-on Loafers
cust_3e2f5a4617c4,9600.00,2025-12-24 10:34:22,4,Footwear,Minimalist Canvas Sneakers
cust_3e2f5a4617c4,11600.00,2026-01-16 10:34:22,4,Outerwear,Recycled Polyester Windbreaker
cust_3e2f5a4617c4,19500.00,2026-05-23 10:34:22,3,Knitwear,Cashmere Cardigan
cust_3e2f5a4617c4,13000.00,2026-05-12 10:34:22,2,Knitwear,Cashmere Cardigan
cust_3e2f5a4617c4,8400.00,2026-01-17 10:34:22,4,Apparel,Linen Summer Shirt
cust_3e2f5a4617c4,7200.00,2025-12-14 10:34:22,3,Footwear,Minimalist Canvas Sneakers
cust_3e2f5a4617c4,17400.00,2026-02-23 10:34:22,3,Outerwear,Heavyweight Parka
cust_3e2f5a4617c4,6500.00,2026-04-14 10:34:22,1,Knitwear,Cashmere Cardigan
cust_3e2f5a4617c4,8400.00,2026-04-08 10:34:22,3,Footwear,Eco Slip-on Loafers
cust_3e2f5a4617c4,7400.00,2025-12-25 10:34:22,4,Apparel,Organic Cotton Crewneck
cust_3e2f5a4617c4,4200.00,2026-02-18 10:34:22,2,Apparel,Linen Summer Shirt
cust_3e2f5a4617c4,13000.00,2026-06-08 10:34:22,2,Knitwear,Cashmere Cardigan
cust_3e2f5a4617c4,2900.00,2026-01-07 10:34:22,1,Outerwear,Recycled Polyester Windbreaker
cust_3e2f5a4617c4,23200.00,2026-05-05 10:34:22,4,Outerwear,Heavyweight Parka
cust_3e2f5a4617c4,14000.00,2026-04-17 10:34:22,4,Knitwear,Merino Wool Knit Sweater
cust_3e2f5a4617c4,3500.00,2026-03-18 10:34:22,1,Knitwear,Merino Wool Knit Sweater
cust_3e2f5a4617c4,11600.00,2026-05-30 10:34:22,2,Outerwear,Heavyweight Parka
cust_3e2f5a4617c4,16800.00,2026-03-12 10:34:22,4,Apparel,Sustainable Denim Jacket
cust_3e2f5a4617c4,5000.00,2026-01-01 10:34:22,2,Apparel,Chino Trousers
cust_3e2f5a4617c4,4800.00,2026-05-09 10:34:22,2,Footwear,Minimalist Canvas Sneakers
cust_3e2f5a4617c4,5800.00,2026-03-23 10:34:22,2,Outerwear,Recycled Polyester Windbreaker
cust_3e2f5a4617c4,11600.00,2026-01-28 10:34:22,2,Outerwear,Heavyweight Parka
cust_3e2f5a4617c4,2400.00,2026-03-07 10:34:22,1,Footwear,Minimalist Canvas Sneakers
cust_3e2f5a4617c4,2900.00,2026-03-11 10:34:22,1,Outerwear,Recycled Polyester Windbreaker
cust_3e2f5a4617c4,7200.00,2025-12-27 10:34:22,3,Footwear,Minimalist Canvas Sneakers
cust_7e8588d606ae,3500.00,2026-06-08 10:34:22,1,Knitwear,Merino Wool Knit Sweater
cust_7e8588d606ae,6300.00,2026-02-27 10:34:22,3,Apparel,Linen Summer Shirt
cust_7e8588d606ae,5800.00,2026-05-26 10:34:22,2,Outerwear,Recycled Polyester Windbreaker
cust_7e8588d606ae,8400.00,2026-04-16 10:34:22,3,Footwear,Eco Slip-on Loafers
cust_7e8588d606ae,8400.00,2026-03-29 10:34:22,3,Footwear,Eco Slip-on Loafers
